Client_ID,Client_Name,Group_ID,Center_Number,VS_ID,Active,Group,Current_Monthly_Budget,Metro_Area,State_Code,Google_Customer_ID,Adcenter_Account_ID,Active
29,Irving (US114),9,US114,CA6phEtEBVBQOADU,Yes,Dallas,3366,0,TX,2294654380,0,Yes
30,LaGrange Park (US375),63,US375,CA6phEqDRu0YyQEv,Yes,LaGrange Park,200,Chicago,IL,6925913229,0,Yes
31,Layton (US379),21,US379,CA6phUs26NIJhgEH,Yes,Ogden/Layton,500,0,UT,4757588472,0,Yes
32,Lehi (US615),33,US615,CA6phks39Q9DvwDn,Yes,Utah Valley,800,0,UT,2641631825,0,Yes
33,Littleton (US116),11,US116,CA6phkqcg_Qc_gCO,Yes,Denver,2340,Denver,CO,5838823080,0,Yes
34,Michigan Ave (US255),6,US255,CA6phUqDPlVuVABx,Yes,Chicago - Downtown,2300,0,IL,6301200578,0,Yes
35,"Nashua, NH (US277)",18,US277,CA6phEtTdk5RPQIB,Yes,"Nashua, NH",485,0,NH,1399354980,0,Yes
36,New Bedford (US183),19,US183,CA6phEs4E9he6wCd,Yes,New Bedford,0,0,MA,8852709025,0,No
37,North Central TX (US607),35,US607,CA6phEtEC55tvwCp,No,North Central TX,0,0,TX,9581962325,0,No
38,North Dallas (US054),9,US054,CA6phUtD-5E0wAB4,Yes,Dallas,3366,0,TX,2294654380,0,Yes
39,"Norwalk, CT (US415)",29,US415,CA6phktTwhILqgEz,No,Southern CT,0,0,CT,2070482621,0,No
40,O'Hare (US268),92,,,No,O'Hare,175,Chicago,IL,7612507880,0,Yes
41,Oakbrook Terrace (US232),61,US232,CA6phkqHDd5EkQCk,Yes,Oakbrook Terrace,390,Chicago,IL,2753818329,0,Yes
42,"Paramus, NJ (US231)",38,US231,CA6ph0tTzuVULADs,Yes,Paramus,0,North Jersey,NJ,8191285127,0,No
43,Park City (US656),22,US656,CA6phks9B80FfwGC,Yes,Park City,0,0,UT,7720736729,0,No
44,Plano (US099),9,US099,CA6phEtEAj5qSgAH,Yes,Dallas,3366,0,TX,2294654380,0,Yes
45,Plano (US408),9,US408,CA6phE6q_XksQALH,Yes,Dallas,3366,0,TX,2294654380,0,Yes
46,Portland (US243),23,US243,CA6ph0okP5pDvgA7,No,"Portland, OR",0,0,OR,3810211278,0,No
47,"Providence, RI (US205)",24,US205,CA6phEs9Er0y5wDR,Yes,"Providence, RI",585,0,RI,4654570478,0,Yes
48,"Providence, UT (US654)",25,US654,CA6ph02U_IUTDwK9,No,"Providence, UT",160,0,UT,1936606427,0,No
49,Provo (US100),33,US100,CA6phEs38wpQLACt,Yes,Utah Valley,800,0,UT,2641631825,0,Yes
50,"Red Bank, NJ (US316)",26,US316,CA6ph0tSHO4YSwC5,No,"Red Bank, NJ",0,0,NJ,1208143725,0,No
51,Richardson (US103),9,US103,CA6ph0tEAXECUwDj,Yes,Dallas,3366,0,TX,2294654380,0,Yes
52,Salt Lake City (US016),27,US016,CA6phks2-t5F2ADj,Yes,Salt Lake City,2870,0,UT,3258565223,X0865673,Yes
53,Salt Lake City (US026),27,US026,CA6phEs2-NJxygCE,Yes,Salt Lake City,2870,0,UT,3258565223,X0865673,Yes
54,Salt Lake City (US431),27,US431,CA6phks3ACEyAwE8,Yes,Salt Lake City,2870,0,UT,3258565223,X0865673,Yes
55,Salt Lake City (US614),27,US614,CA6phEw17W4J4QEL,Yes,Salt Lake City,2870,0,UT,3258565223,X0865673,Yes
56,San Marcos (US554),43,US554,CA6phkt18GVbtwB8,Yes,San Marcos,485,San Diego,CA,9463949278,0,Yes
57,Schaumburg (US161),60,US161,CA6phkqDN9MKNAB0,Yes,Schaumburg,300,Chicago,IL,6420586676,0,Yes
58,South Ogden (US380),21,US380,CA6phks26E4rkQEs,Yes,Ogden/Layton,500,0,UT,4757588472,0,Yes
59,St George (US491),30,US491,CA6phEs9DAg3aADu,Yes,St George,200,0,UT,2060089376,0,Yes
60,St. Charles (US344),7,US344,CA6phUqDRZJpEACt,Yes,Chicago - FRV,0,0,IL,8270861127,0,No
61,Stamford (US146),29,,CA6phEtcqTQIYADO,No,Southern CT,0,0,CT,2070482621,0,No
62,"Totowa, NJ (US543)",39,US543,CA6ph0tT0QgZhAHl,Yes,Totowa,485,North Jersey,NJ,9289229227,0,Yes
63,"Wallingford, CT (US517)",48,US517,CA6phk3ltygCFwCR,No,Wallingford,225,New Haven,CT,9375704322,0,No
64,Walnut Creek (US493),34,US493,CA6ph0sLQsJAugKK,Yes,Walnut Creek,485,Bay Area,CA,3975998221,0,Yes
65,Waltham (US478),45,US478,CA6phEtTn6JBwACh,Yes,Waltham,385,Boston,MA,6039133676,0,Yes
66,West Jordan (US403),27,US403,CA6phks3ArdDBgDy,Yes,Salt Lake City,2870,0,UT,3258565223,X0865673,Yes
67,West Loop (US525),6,US525,CA6ph0qDSzsTqwCz,Yes,Chicago - Downtown,2300,0,IL,6301200578,0,Yes
68,West Valley City (US034),27,US034,CA6phUs2_4IwuwBw,Yes,Salt Lake City,2870,0,UT,3258565223,X0865673,Yes
69,Woburn (US220),46,US220,CA6phktToxlbZAGB,Yes,Woburn,600,Boston,MA,7096103480,0,Yes
70,Worcester (US603),36,US603,CA6ph0tPmlVzpwD_,Yes,Worcester,485,Boston,MA,9222310529,0,Yes
71,Denver (US438),11,US438,,Yes,Denver,2340,Denver,CO,5838823080,0,Yes
72,Aurora (US636),69,US636,CA6phUyt7PhsowBr,Yes,"Aurora, CO",485,Denver,CO,4360924725,0,Yes
73,Arvada (US424),11,US424,,Yes,Denver,2340,Denver,CO,5838823080,0,Yes
74,Golden (US612),70,US612,,Yes,Golden,485,Denver,CO,7108330327,0,Yes
75,Las Vegas (US361),16,US361,,Yes,Las Vegas,750,Las Vegas,NV,1802517478,0,Yes
76,Sunnyvale (US462),32,US462,,Yes,Sunnyvale,1750,0,CA,7582972827,0,Yes
77,Renton/Tacoma,31,us274,CA6phkuZafRGMQIS,Yes,Stempler,0,0,WA,3946101049,X1254751,Yes
78,Tacoma,31,us274-2,,No,Stempler,0,0,WA,3946101049,X1254751,Yes
79,Lynnwood,31,US627,CA6phUuZZs1vjwCd,Yes,Stempler,0,0,WA,3946101049,X1254751,Yes
80,Thousand Oaks,31,US184,CA6phkuZbAxkDgBC,Yes,Stempler,0,0,WA,3946101049,X1254751,Yes
81,Chandler (US124),37,US124,CA6phUuQpQoaiQJS,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
82,Gilbert (US613),37,US613,CA6phUuQqzUteAHt,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
83,Mesa (US087),37,US087,CA6phUuQoNkGoQL3,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
84,Mesa (US291),37,US291,CA6phEuQqTZOvwKb,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
85,Phoenix (US006),37,US006,CA6phEuQLKBd_gA1,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
86,Phoenix (US011),37,US011,CA6phUuQMxMhbACp,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
87,Phoenix (US106),37,US106,CA6ph0uQo7Rg6wB2,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
88,Phoenix (US213),37,US213,CA6phEuQpowUygB8,No,Phoenix,4900,0,AZ,6038205080,0,Yes
89,Phoenix (US619),37,US619,CA6ph0uUeQ9mvQGT,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
90,Phoenix (US625),37,US625,CA6phEuQrGEgUAA2,No,Phoenix,4900,0,AZ,6038205080,0,Yes
91,Scottsdale (US014),37,US014,CA6phEuQNl0TOAQ_,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
92,Scottsdale (US037),37,US037,CA6phEuQOH5ggABg,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
93,Scottsdale (US039),37,US039,CA6phkuQO4wVbwB3,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
94,Tempe (US004),37,US004,CA6phEuQHxtWOgAC,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
95,Tempe (US436),37,US436,CA6phUuQqjlcZAAv,Yes,Phoenix,4900,0,AZ,6038205080,0,Yes
96,Davis Spring (US637),1,US637,CA6phkuryD9djQBE,No,Austin,970,0,TX,9077660929,0,Yes
97,Albuquerque (US020),41,US020,CA6phEu3WFQRXABI,No,Albuquerque,639,0,NM,3548252178,0,No
98,Fort Collins (US480),51,US480,CA6phUvMtxMhPgBn,No,Fort Collins,0,Fort Collins,CO,8383889321,0,No
99,San Ramon (US503),52,US503,CA6phEvaCt0mvwDy,Yes,San Ramon,585,Bay Area,CA,1123774921,0,Yes
100,Irvine (US421),53,US421,CA6phkvaBDIrqAAj,Yes,Irvine,730,Los Angeles,CA,8233566429,0,Yes
101,Rancho Cucamonga (US117),54,US117,CA6phkvaCEErlQA0,Yes,Rancho Cucamonga,485,0,CA,1785445627,0,No
102,Boston (US541),55,US541,CA6phUvaCbskrQDD,Yes,Boston,400,Boston,MA,9145101623,0,Yes
103,Lakeway (US672),1,US672,CA6phUvgVANtswAR,No,Austin,970,0,TX,9077660929,0,Yes
104,Sioux Falls (US451),56,US451,CA6phUwuaXJlMwAY,Yes,Sioux Falls,485,Sioux Falls,SD,6131710172,0,Yes
105,San Antonio (US600),57,US600,CA6phkxWEL9tVQHb,Yes,San Antonio,485,San Antonio,TX,4720073425,0,Yes
106,McKinney (US559),58,US559,CA6phkxWDYgq2wCv,No,McKinney,0,Dallas,TX,1439112180,0,No
107,Brentwood (US450),84,US450,CA6phUxpZpA1fgCn,Yes,Brentwood,485,Nashville,TN,9799077078,0,Yes
108,Franklin (US630),83,US630,CA6ph0xpZ0tkSgAm,Yes,Franklin,290,Nashville,TN,5351354929,0,Yes
109,Roseville (US552),66,US552,CA6ph0x4IYw1PgC5,Yes,Roseville,485,Sacramento,CA,9422305323,0,Yes
110,Corpus Christi (US600#),67,US600-2,CA6phEyX18ZjSwMh,No,Corpus Christi,0,Corpus Christi,TX,7632706129,0,Yes
111,New Haven (US680),68,US680,CA6phUyX1g5j_wJ-,Yes,New Haven,485,New Haven,CT,2914380437,0,Yes
112,UK - Nottingham (UK007),71,UK007,,Yes,UK - Nottingham,485,Nottingham,UK,4221507011,0,Yes
113,Summit/New Providence,72,US301,CA6ph0yyMA1VCwA_,No,Summit/New Providence,0,0,NJ,8228446372,0,No
115,Ft Lauderdale (US417),73,US417,CA6ph0z1tWBflgAB,Yes,Ft Lauderdale,485,Ft Lauderdale,FL,7748697227,0,Yes
116,Modesto (US481),74,US481,CA6phUzYcEYuBgKP,Yes,Modesto,485,Modesto,CA,3768022580,0,Yes
117,Orlando (US663),75,US663,CA6phUz0QooMbACt,Yes,Orlando,735,Orlando,FL,6934729080,0,Yes
118,Lakeland (US420),76,US420,CA6phE0hSCRWdAET,Yes,Lakeland,485,Tampa,FL,6549964129,0,Yes
119,Wood Dale (US468),77,US468,CA6ph00hNg4b2wAZ,Yes,Wood Dale,150,Chicago,IL,1046497874,0,Yes
120,Rancho Cordova (US676),78,US676,CA6phU0s10FPsAD0,Yes,Rancho Cordova,485,Sacramento,CA,4273692327,0,Yes
121,San Francisco (US683),79,US683,CA6phU0velQyKwEy,Yes,San Francisco,485,San Francisco,CA,6146817672,0,Yes
122,Stamford (US146),80,US146,CA6ph00wp6simwCb,Yes,Stamford,485,Stamford,CT,4359255525,0,Yes
123,Wilmington (US177),81,US177,CA6phk0wiGhq0AFs,Yes,Wilmington,485,Wilmington,DE,2883614721,0,Yes
124,Lisle (US221),88,US221,CA6phE1GMlYzagAQ,Yes,Lisle,290,Chicagoland,IL,9290868974,0,Yes
125,Wheaton (US260),90,US260,CA6phk1LV-xvRQDF,Yes,Wheaton,290,Chicagoland,IL,4802454278,0,Yes
126,Henrico (US315),85,US315,CA6ph01DR8RE8gVb,Yes,Richmond,680,Richmond,0,7845892580,0,Yes
127,St. Charles (US344),87,US344,CA6ph01EocgErgAj,Yes,St Charles,290,Chicagoland,IL,9989812574,0,Yes
129,Aurora IL (US492),86,US492,CtjSZVBsd9RuwgD_,Yes,"Aurora, IL",290,Chicagoland,IL,3928306421,0,Yes
130,Richmond (US521),85,US521,CA6phU1DRYgVnQCX,Yes,Richmond,680,Richmond,0,7845892580,0,Yes
131,Rochester (US522),82,US522,CA6ph01BrMFfaQBi,No,Rochester,485,Rochester,NY,5907844825,0,No
132,Sycamore (US621),91,US621,CA6phU1PaRMH5ACn,Yes,Sycamore,485,Chicagoland,IL,5062826429,0,No
133,Hueprint (ZZ001),89,ZZ001,CA6phU1G_BtTNwBW,No,Hueprint,485,Reston,VA,7950005623,0,No
134,South Bend (US531),93,US531,CA6phU13G9Ms7AB_,No,South Bend,450,South Bend,IN,2602592437,0,No
135,Elkhart (US599),94,US599,CA6ph013Ev8c_gFg,No,Elkhart,150,South Bend,IN,2725295186,0,No
136,Idaho Falls (US679),95,US679,CA6phk2VBoYaOgCx,Yes,Idaho Falls,290,Idaho Falls,ID,4432796029,0,Yes
137,Kansas City (US190),96,US190,CA6ph02VNyligAC_,Yes,Kansas City,729,Kansas City,MS,9758694890,0,Yes
138,Westlake (US649),97,US649,CA6ph02VZoJJewKW,No,Westlake,290,Cleveland,OH,8041905186,0,No
139,Cleveland (US320),98,US320,CA6phE2iJZIrNgC5,Yes,Cleveland,485,Cleveland,OH,8704774088,0,Yes
140,Strongsville (US507),99,US507,,No,Strongsville,485,Cleveland,OH,9605010986,0,No
141,Columbus (US529),101,US529,CA6phE28a4017gE-,Yes,Columbus,485,Columbus,OH,8657760654,0,Yes
142,Katy (US675),102,US675,CA6ph028jEod8gCm,Yes,Katy,290,Houston,TX,8420962922,0,Yes
143,Tucson (US012),103,US012,CA6phk3AvhBxGgDT,Yes,Tucson,970,Tucson,AZ,7651612690,0,No
144,Tucson (US153),103,US153,CA6phE3AwPozZwMM,Yes,Tucson,970,Tucson,AZ,7651612690,0,No
145,Tucson (US013),103,US013,,Yes,Tucson,970,Tucson,AZ,7651612690,0,No
146,Tucson (US031),103,US031,,Yes,Tucson,970,Tucson,AZ,7651612690,0,No
147,UK - Northeast,104,UK026,,Yes,UK - Northeast,485,NE UK,UK,8171449297,0,Yes
148,Bozeman (US690),105,US690,CA6ph03r7EI7BQBM,No,Bozeman,225,Bozeman,MT,9657722615,0,No
149,Minneapolis (US401),106,US401,CA6phU4UzM8SgAD0,Yes,Minneapolis,485,Minneapolis,MN,7235120687,0,Yes
150,Plymouth (US489),107,US489,CA6phE4Uy_VHzwDn,Yes,Plymouth,290,Minneapolis,MN,5465705587,0,Yes
151,Metairie (US703),110,US703,CA6phE6GUI8PTgEN,Yes,Metairie,485,New Orleans,LA,2900347330,0,Yes
152,Mountain View (US252),111,US252,CA6phU6GXuBmfAM8,Yes,Mountain View,290,Bay Area,CA,2736727903,0,Yes
153,West Houston (US553),112,US553,CA6phU6GYyI3AQBe,Yes,West Houston,485,Houston,TX,4506143003,0,Yes
154,Willowbrook (US687),113,US687,CA6phU6cSmoVFACC,Yes,Willowbrook,485,Houston,TX,5404683314,0,Yes
155,Brandon (US658),114,US658,CA6phU6zPawI9QBh,Yes,Brandon,485,Tampa,FL,9336975991,0,Yes
156,Jackson (Pearl MS),115,US646,CA6phk64YXw1DwCz,Yes,Jackson (Pearl MS),485,Jackson,MS,8774637883,0,Yes
157,Allegra Print - Tucson,116,APIAZ,CA6phU6vEUprJABc,Yes,Allegra Print - Tucson,485,Tucson,AZ,8929754517,0,Yes
158,Watertown (US689),117,US689,CA6ph06zRKQhIQB0,No,Watertown,290,Boston,MA,1921381810,0,No
159,UK - NE London,118,UK020,,No,UK - NE  London,290,London,UK,2985536030,0,No
160,Charlotte - Matthews (US585),119,US585,CA6ph08I0C4-_gBP,Yes,Charlotte - Matthews,485,Charlotte,NC,8959924253,0,Yes
161,Charlotte - Monroe (US287),120,US287,CA6phE787Lw9dAMM,Yes,Charlotte - Monroe,290,Charlotte,NC,9134886412,0,Yes
162,North Liberty (US639 ),121,US639,CA6phU78_PBzMQCv,Yes,North Liberty,290,Cedar Rapids,IA,3113099679,0,Yes
163,Savannah (US241),122,US241,CA6phE784RlDdQJI,Yes,Savannah,485,Savannah,GA,6097609420,0,Yes
164,Sycamore (US344),123,US344-2,CA6ph08pwxc4owD5,Yes,Sycamore,290,Chicago,IL,1549131393,0,Yes
167,Park Ridge (US268),126,US268,CA6phk1wVeYMggCQ,Yes,Park Ridge,175,Chicago,IL,9535303571,0,No
168,Mason (US123),127,US123,CA6phk9Cv9RHyQH8,No,Mason,485,Cincinnati,OH,5065948522,0,No
169,Norwalk (US415),128,US415,CA6ph098ie8OPAGr,Yes,Norwalk,485,Connecticut,CT,6381693120,0,Yes
170,Lake Norman (US565),129,US565,CA6phU90uvQWZAAf,Yes,Cornelius,290,0,0,8028958706,0,Yes
171,Buckhead (US592),130,US592,CA6phU90uXgVOAAq,No,Buckhead,290,Atlanta,GA,2909849724,0,No
172,Flagstaff (US634),131,US634,CA6ph090vG1dYwMX,No,Flagstaff,290,Flagstaff,CO,3006858736,0,No
173,Morgan Hill (US688),132,US688,CA6phU90vT5dfQJA,Yes,Morgan Hill,290,0,0,1045866465,0,Yes
174,Tysons (US695),133,US695,CA6phk90v3AxewCh,Yes,Tysons,290,0,0,9843594367,0,Yes
175,Missoula (US704),134,US704,CA6phU97Ni4jCwBq,No,Missoula,290,Missoula,MT,9741008559,0,No
176,Suwanee (US717),135,US717,CA6ph090vmUgEADN,Yes,Suwanee,290,Atlanta,GA,2765933967,0,Yes
177,Tampa (US671),136,US671,CA6ph0_gBKkbGgGD,Yes,Tampa,485,Tampa,FL,7813038257,0,Yes
178,Sugarland (US705),137,US705,CA6phk_fC-ZGMAH8,Yes,Sugarland,290,0,TX,3065810867,0,Yes
179,Dunedin (US668),138,US668,CA6ph0_IndFqwQDb,No,Dunedin,290,0,0,3340338267,0,No
180,The Woodlands (US651),139,US651,CA6phU_5iBNdaQCQ,Yes,The Woodlands,290,Houston,TX,3552486314,0,Yes
181,Crystal Lake (US590),140,US590,CA6ph0_qnslZAADr,Yes,Crystal Lake,290,Chicago,IL,2651445571,0,Yes
182,New Brunswick (US347),141,US347,CA6phE_ygdASIQBa,Yes,New Brunswick,290,0,0,7180990673,0,Yes
183,West Palm Beach (US601),142,US601,CA6phk-H3f5EuQFz,Yes,West Palm Beach,290,Miami,FL,7171702002,0,Yes
184,Bellevue (US707),31,US707,CA6phU7yWlROdQME,Yes,Stempler,0,0,WA,3946101049,X1254751,Yes
185,Pittsburgh (US514),143,US514,CA6phU-XvndcJAD-,Yes,Pittsburgh,485,Pittsburgh,PA,7522868024,0,Yes
186,Cunneen (CU001),147,CU001,CA6phE-xI3YfXgB_,Yes,Cunneen,910,Hamden,CT,9120707518,0,Yes
187,Grand Junction (US456),146,US456,CA6phU-xGK4RjwFc,Yes,Grand Junction,290,Grand Junction,CO,4722686659,0,Yes
188,Hoover (US448),145,US448,CA6phE-xImEYxQCo,Yes,Hoover,353,Hoover,AL,5224239867,0,Yes
189,Memphis (US046),144,US046,CA6phE-xE5VXggHP,Yes,Memphis,485,Memphis,TN,1734757265,0,Yes
190,Bloomington (US574),148,US574,CA6phU-0hZNNEgLL,No,Bloomington,485,Bloomington,IL,6184566575,0,No
191,El Paso (US681),149,US681,CA6ph1AYWNFjRAD1,Yes,El Paso,290,El Paso,TX,2374087687,0,Yes
192,Knoxville (US476),150,US476,CA6ph1AZtkIxfwLq,Yes,Knoxville,485,Knoxville,TN,5712969375,0,Yes
193,Odenton (US648),151,US648,CA6phlAa-7FiFACe,Yes,Odenton,485,Odenton,MD,4909482367,0,Yes
194,Manchester (US219),152,US219,CtjSZVBKKOVstABo,Yes,Manchester,290,Manchester,NH,8974103132,0,Yes
195,Mahwah (US713),153,US713,CtjSZ1BFaTYS0QA_,Yes,Mahwah,290,Mahwah,NJ,5174231222,0,Yes
196,Overland Park (US410),154,US410,CtjSZ1BXaMAUKgCl,Yes,Overland Park,485,Overland Park,KS,4823870936,0,Yes
197,Tacoma (US718),155,US718,CtjSZVBiKABUQQD4,Yes,Tacoma,290,Tacoma,WA,6981840328,0,Yes
198,Charleston (US720),156,US720,CtjSZlBkfPpJBwAk,Yes,Charleston,290,Charleston,SC,5413710014,0,Yes
199,Greeley (US640),157,US640,CtjSZlBg7tYpCgAg,Yes,Greeley,290,Greeley,CO,8421365775,0,Yes
